datetime,taxi_pickups_count,uber_pickups_count
5/1/2014 0:00,15629,348
5/1/2014 1:00,9080,179
5/1/2014 2:00,5267,101
5/1/2014 3:00,3440,172
5/1/2014 4:00,3177,241
5/1/2014 5:00,4774,438
5/1/2014 6:00,13623,822
5/1/2014 7:00,23653,1274
5/1/2014 8:00,27237,1237
5/1/2014 9:00,25563,853
5/1/2014 10:00,22853,771
5/1/2014 11:00,22383,662
5/1/2014 12:00,23281,716
5/1/2014 13:00,22383,820
5/1/2014 14:00,23834,1060
5/1/2014 15:00,22432,1348
5/1/2014 16:00,17656,1584
5/1/2014 17:00,22311,1845
5/1/2014 18:00,29335,1710
5/1/2014 19:00,31208,1584
5/1/2014 20:00,31233,1546
5/1/2014 21:00,31756,1880
5/1/2014 22:00,32154,1403
5/1/2014 23:00,28429,781
5/2/2014 0:00,22681,357
5/2/2014 1:00,14902,199
5/2/2014 2:00,9882,139
5/2/2014 3:00,6839,183
5/2/2014 4:00,5162,215
5/2/2014 5:00,5467,359
5/2/2014 6:00,13003,806
5/2/2014 7:00,23022,990
5/2/2014 8:00,26768,912
5/2/2014 9:00,25507,657
5/2/2014 10:00,23667,727
5/2/2014 11:00,24214,756
5/2/2014 12:00,24032,790
5/2/2014 13:00,22096,918
5/2/2014 14:00,23570,1169
5/2/2014 15:00,21248,1469
5/2/2014 16:00,16706,1711
5/2/2014 17:00,20288,1877
5/2/2014 18:00,27755,2141
5/2/2014 19:00,31902,1633
5/2/2014 20:00,32385,1451
5/2/2014 21:00,31557,1617
5/2/2014 22:00,32375,1676
5/2/2014 23:00,31957,1483
5/3/2014 0:00,29465,848
5/3/2014 1:00,25492,529
5/3/2014 2:00,20883,329
5/3/2014 3:00,15449,238
5/3/2014 4:00,9988,213
5/3/2014 5:00,5381,198
5/3/2014 6:00,5889,232
5/3/2014 7:00,9277,307
5/3/2014 8:00,14158,407
5/3/2014 9:00,18735,506
5/3/2014 10:00,21781,580
5/3/2014 11:00,24395,672
5/3/2014 12:00,26176,708
5/3/2014 13:00,26564,826
5/3/2014 14:00,26789,968
5/3/2014 15:00,26073,1456
5/3/2014 16:00,21005,1715
5/3/2014 17:00,24526,1483
5/3/2014 18:00,29826,2249
5/3/2014 19:00,34120,1581
5/3/2014 20:00,31213,1410
5/3/2014 21:00,30373,1751
5/3/2014 22:00,33030,1637
5/3/2014 23:00,33475,1391
5/4/2014 0:00,30934,1152
5/4/2014 1:00,29148,641
5/4/2014 2:00,23575,418
5/4/2014 3:00,17336,315
5/4/2014 4:00,11120,245
5/4/2014 5:00,5522,178
5/4/2014 6:00,5221,163
5/4/2014 7:00,7117,209
5/4/2014 8:00,10489,239
5/4/2014 9:00,14559,330
5/4/2014 10:00,19886,412
5/4/2014 11:00,22976,537
