datetime,TaxiPickupsPerMinute,UberPickupsPerMinute
5/13/2014 0:00,256,3
5/13/2014 0:01,262,2
5/13/2014 0:02,252,8
5/13/2014 0:03,275,6
5/13/2014 0:04,272,6
5/13/2014 0:05,263,2
5/13/2014 0:06,238,3
5/13/2014 0:07,229,6
5/13/2014 0:08,226,4
5/13/2014 0:09,226,2
5/13/2014 0:10,258,4
5/13/2014 0:11,209,1
5/13/2014 0:12,232,1
5/13/2014 0:13,250,4
5/13/2014 0:14,241,2
5/13/2014 0:15,222,4
5/13/2014 0:16,217,1
5/13/2014 0:17,221,2
5/13/2014 0:18,210,3
5/13/2014 0:19,206,7
5/13/2014 0:20,197,2
5/13/2014 0:21,177,4
5/13/2014 0:22,208,3
5/13/2014 0:23,215,1
5/13/2014 0:24,210,4
5/13/2014 0:25,227,4
5/13/2014 0:26,203,3
5/13/2014 0:27,200,0
5/13/2014 0:28,186,2
5/13/2014 0:29,206,3
5/13/2014 0:30,203,8
5/13/2014 0:31,214,5
5/13/2014 0:32,207,3
5/13/2014 0:33,172,1
5/13/2014 0:34,165,1
5/13/2014 0:35,186,7
5/13/2014 0:36,186,6
5/13/2014 0:37,162,2
5/13/2014 0:38,169,3
5/13/2014 0:39,208,6
5/13/2014 0:40,178,2
5/13/2014 0:41,183,3
5/13/2014 0:42,172,4
5/13/2014 0:43,174,2
5/13/2014 0:44,168,3
5/13/2014 0:45,172,2
5/13/2014 0:46,172,0
5/13/2014 0:47,160,2
5/13/2014 0:48,170,2
5/13/2014 0:49,177,3
5/13/2014 0:50,157,6
5/13/2014 0:51,175,2
5/13/2014 0:52,145,2
5/13/2014 0:53,141,1
5/13/2014 0:54,144,5
5/13/2014 0:55,164,2
5/13/2014 0:56,147,4
5/13/2014 0:57,159,4
5/13/2014 0:58,157,0
5/13/2014 0:59,145,3
5/13/2014 1:00,159,3
5/13/2014 1:01,151,2
5/13/2014 1:02,146,2
5/13/2014 1:03,153,4
5/13/2014 1:04,129,1
5/13/2014 1:05,158,3
5/13/2014 1:06,150,2
5/13/2014 1:07,148,4
5/13/2014 1:08,153,1
5/13/2014 1:09,148,3
5/13/2014 1:10,139,4
5/13/2014 1:11,119,3
5/13/2014 1:12,133,3
5/13/2014 1:13,151,4
5/13/2014 1:14,123,0
5/13/2014 1:15,135,3
5/13/2014 1:16,140,3
5/13/2014 1:17,122,4
5/13/2014 1:18,123,1
5/13/2014 1:19,135,4
5/13/2014 1:20,128,3
5/13/2014 1:21,103,3
5/13/2014 1:22,124,2
5/13/2014 1:23,105,3
5/13/2014 1:24,129,2
5/13/2014 1:25,115,1
5/13/2014 1:26,131,2
5/13/2014 1:27,117,2
5/13/2014 1:28,117,2
5/13/2014 1:29,104,1
5/13/2014 1:30,104,0
5/13/2014 1:31,110,1
5/13/2014 1:32,94,5
5/13/2014 1:33,114,1
5/13/2014 1:34,111,1
5/13/2014 1:35,112,1
5/13/2014 1:36,105,1
5/13/2014 1:37,91,2
5/13/2014 1:38,107,2
5/13/2014 1:39,109,1
5/13/2014 1:40,124,0
5/13/2014 1:41,100,3
5/13/2014 1:42,106,2
5/13/2014 1:43,120,1
5/13/2014 1:44,109,3
5/13/2014 1:45,104,3
5/13/2014 1:46,104,1
5/13/2014 1:47,121,2
5/13/2014 1:48,112,2
5/13/2014 1:49,92,1
5/13/2014 1:50,96,1
5/13/2014 1:51,93,2
5/13/2014 1:52,98,3
5/13/2014 1:53,112,1
5/13/2014 1:54,93,2
5/13/2014 1:55,98,3
5/13/2014 1:56,96,0
5/13/2014 1:57,87,3
5/13/2014 1:58,88,3
5/13/2014 1:59,99,2
5/13/2014 2:00,86,2
5/13/2014 2:01,87,0
5/13/2014 2:02,89,1
5/13/2014 2:03,99,1
5/13/2014 2:04,86,1
5/13/2014 2:05,87,0
5/13/2014 2:06,83,3
5/13/2014 2:07,103,1
5/13/2014 2:08,91,1
5/13/2014 2:09,104,2
5/13/2014 2:10,89,1
5/13/2014 2:11,82,2
5/13/2014 2:12,90,3
5/13/2014 2:13,79,0
5/13/2014 2:14,75,1
5/13/2014 2:15,94,0
5/13/2014 2:16,64,1
5/13/2014 2:17,90,1
5/13/2014 2:18,80,2
5/13/2014 2:19,98,0
