datetime,pickups_count
5/1/2014 0:00,15629
5/1/2014 1:00,9080
5/1/2014 2:00,5267
5/1/2014 3:00,3440
5/1/2014 4:00,3177
5/1/2014 5:00,4774
5/1/2014 6:00,13623
5/1/2014 7:00,23653
5/1/2014 8:00,27237
5/1/2014 9:00,25563
5/1/2014 10:00,22853
5/1/2014 11:00,22383
5/1/2014 12:00,23281
5/1/2014 13:00,22383
5/1/2014 14:00,23834
5/1/2014 15:00,22432
5/1/2014 16:00,17656
5/1/2014 17:00,22311
5/1/2014 18:00,29335
5/1/2014 19:00,31208
5/1/2014 20:00,31233
5/1/2014 21:00,31756
5/1/2014 22:00,32154
5/1/2014 23:00,28429
5/2/2014 0:00,22681
5/2/2014 1:00,14902
5/2/2014 2:00,9882
5/2/2014 3:00,6839
5/2/2014 4:00,5162
5/2/2014 5:00,5467
5/2/2014 6:00,13003
5/2/2014 7:00,23022
5/2/2014 8:00,26768
5/2/2014 9:00,25507
5/2/2014 10:00,23667
5/2/2014 11:00,24214
5/2/2014 12:00,24032
5/2/2014 13:00,22096
5/2/2014 14:00,23570
5/2/2014 15:00,21248
5/2/2014 16:00,16706
5/2/2014 17:00,20288
5/2/2014 18:00,27755
5/2/2014 19:00,31902
5/2/2014 20:00,32385
5/2/2014 21:00,31557
5/2/2014 22:00,32375
5/2/2014 23:00,31957
5/3/2014 0:00,29465
5/3/2014 1:00,25492
5/3/2014 2:00,20883
5/3/2014 3:00,15449
5/3/2014 4:00,9988
5/3/2014 5:00,5381
5/3/2014 6:00,5889
5/3/2014 7:00,9277
5/3/2014 8:00,14158
5/3/2014 9:00,18735
5/3/2014 10:00,21781
5/3/2014 11:00,24395
5/3/2014 12:00,26176
5/3/2014 13:00,26564
5/3/2014 14:00,26789
5/3/2014 15:00,26073
5/3/2014 16:00,21005
5/3/2014 17:00,24526
5/3/2014 18:00,29826
5/3/2014 19:00,34120
5/3/2014 20:00,31213
5/3/2014 21:00,30373
5/3/2014 22:00,33030
5/3/2014 23:00,33475
5/4/2014 0:00,30934
5/4/2014 1:00,29148
5/4/2014 2:00,23575
5/4/2014 3:00,17336
5/4/2014 4:00,11120
5/4/2014 5:00,5522
5/4/2014 6:00,5221
5/4/2014 7:00,7117
5/4/2014 8:00,10489
5/4/2014 9:00,14559
5/4/2014 10:00,19886
5/4/2014 11:00,22976
5/4/2014 12:00,25659
5/4/2014 13:00,26350
5/4/2014 14:00,25356
5/4/2014 15:00,23390
5/4/2014 16:00,22318
5/4/2014 17:00,24019
5/4/2014 18:00,25100
5/4/2014 19:00,24573
5/4/2014 20:00,23155
5/4/2014 21:00,21548
5/4/2014 22:00,20509
5/4/2014 23:00,15929
5/5/2014 0:00,10488
5/5/2014 1:00,6121
5/5/2014 2:00,3836
5/5/2014 3:00,2572
5/5/2014 4:00,2890
5/5/2014 5:00,5107
5/5/2014 6:00,12708
5/5/2014 7:00,21946
5/5/2014 8:00,25085
5/5/2014 9:00,23981
5/5/2014 10:00,21521
5/5/2014 11:00,21925
5/5/2014 12:00,22402
5/5/2014 13:00,21625
5/5/2014 14:00,23496
5/5/2014 15:00,22620
5/5/2014 16:00,19766
5/5/2014 17:00,24436
5/5/2014 18:00,30452
5/5/2014 19:00,30914
5/5/2014 20:00,29363
5/5/2014 21:00,28926
5/5/2014 22:00,27097
5/5/2014 23:00,22065
5/6/2014 0:00,14653
5/6/2014 1:00,9018
5/6/2014 2:00,5767
5/6/2014 3:00,3913
5/6/2014 4:00,3396
5/6/2014 5:00,4774
5/6/2014 6:00,12600
5/6/2014 7:00,23129
5/6/2014 8:00,26921
5/6/2014 9:00,25507
5/6/2014 10:00,23076
5/6/2014 11:00,22741
5/6/2014 12:00,23320
5/6/2014 13:00,22526
5/6/2014 14:00,23893
5/6/2014 15:00,22911
5/6/2014 16:00,18791
5/6/2014 17:00,24200
5/6/2014 18:00,30496
5/6/2014 19:00,31161
5/6/2014 20:00,29981
5/6/2014 21:00,30009
5/6/2014 22:00,28096
5/6/2014 23:00,22366
5/7/2014 0:00,14302
5/7/2014 1:00,8072
5/7/2014 2:00,4950
5/7/2014 3:00,3132
5/7/2014 4:00,3005
5/7/2014 5:00,4676
5/7/2014 6:00,13088
5/7/2014 7:00,23941
5/7/2014 8:00,27162
5/7/2014 9:00,25686
5/7/2014 10:00,23364
5/7/2014 11:00,23416
5/7/2014 12:00,23640
5/7/2014 13:00,22929
5/7/2014 14:00,23947
5/7/2014 15:00,22251
5/7/2014 16:00,17700
5/7/2014 17:00,22842
5/7/2014 18:00,29436
5/7/2014 19:00,31771
5/7/2014 20:00,31066
5/7/2014 21:00,30804
5/7/2014 22:00,28754
5/7/2014 23:00,24618
5/8/2014 0:00,16054
5/8/2014 1:00,9747
5/8/2014 2:00,6327
5/8/2014 3:00,4267
5/8/2014 4:00,3714
5/8/2014 5:00,5327
5/8/2014 6:00,14682
5/8/2014 7:00,24754
5/8/2014 8:00,27825
5/8/2014 9:00,27012
5/8/2014 10:00,24405
5/8/2014 11:00,23139
5/8/2014 12:00,23741
5/8/2014 13:00,23136
5/8/2014 14:00,24118
5/8/2014 15:00,22487
5/8/2014 16:00,17594
5/8/2014 17:00,23340
