INDEX,datetime,Lat,Lon
14926,5/13/2014 0:00,40.758,-73.972
136528,5/13/2014 0:00,40.7527,-73.9888
340743,5/13/2014 0:00,40.7199,-73.988
136529,5/13/2014 0:01,40.7029,-73.9867
136530,5/13/2014 0:01,40.7706,-73.9856
340744,5/13/2014 0:02,40.7334,-74.0024
340745,5/13/2014 0:02,40.7291,-73.9781
340746,5/13/2014 0:02,40.7596,-73.9737
509886,5/13/2014 0:02,40.776,-73.9798
509887,5/13/2014 0:02,40.7538,-73.9856
509888,5/13/2014 0:02,40.9733,-74.1133
646606,5/13/2014 0:02,40.717,-74.038
646607,5/13/2014 0:02,40.7582,-73.9723
136531,5/13/2014 0:03,40.7596,-73.9812
340747,5/13/2014 0:03,40.6948,-74.1779
340748,5/13/2014 0:03,40.7439,-73.9904
340749,5/13/2014 0:03,40.7364,-74.0084
509889,5/13/2014 0:03,40.7429,-74.0076
509890,5/13/2014 0:03,40.7602,-73.982
136532,5/13/2014 0:04,40.742,-74.0037
136533,5/13/2014 0:04,40.6449,-73.7821
136534,5/13/2014 0:04,40.7532,-73.9843
509891,5/13/2014 0:04,40.6674,-73.991
509892,5/13/2014 0:04,40.6565,-73.9203
646608,5/13/2014 0:04,40.7636,-73.9815
509893,5/13/2014 0:05,40.6449,-73.7824
509894,5/13/2014 0:05,40.7593,-73.9871
136535,5/13/2014 0:06,40.7513,-73.9697
340750,5/13/2014 0:06,40.645,-73.7818
509895,5/13/2014 0:06,40.7201,-74.0101
136536,5/13/2014 0:07,40.7572,-73.9702
136537,5/13/2014 0:07,40.7171,-73.9566
509896,5/13/2014 0:07,40.7423,-74.0065
509897,5/13/2014 0:07,40.7318,-73.9933
509898,5/13/2014 0:07,40.8079,-74.0095
646609,5/13/2014 0:07,40.6854,-73.9733
136538,5/13/2014 0:08,40.7255,-74.0032
136539,5/13/2014 0:08,40.6462,-74.02
509899,5/13/2014 0:08,40.7113,-74.0106
509900,5/13/2014 0:08,40.7625,-73.9769
136540,5/13/2014 0:09,40.6477,-73.9581
509901,5/13/2014 0:09,40.6957,-73.9395
136541,5/13/2014 0:10,40.737,-74.0288
136542,5/13/2014 0:10,40.7489,-73.9877
136543,5/13/2014 0:10,40.7525,-73.9795
340751,5/13/2014 0:10,40.7514,-74.0033
509902,5/13/2014 0:11,40.7432,-74.0084
136544,5/13/2014 0:12,40.6822,-73.9799
136545,5/13/2014 0:13,40.7662,-73.9769
136546,5/13/2014 0:13,40.6832,-73.9938
340752,5/13/2014 0:13,40.7555,-73.9771
509903,5/13/2014 0:13,40.7845,-74.0446
509904,5/13/2014 0:14,40.7131,-73.9637
646610,5/13/2014 0:14,40.7199,-74.0429
136547,5/13/2014 0:15,40.7284,-74.0319
136548,5/13/2014 0:15,40.716,-74.0087
136549,5/13/2014 0:15,40.639,-73.9987
340753,5/13/2014 0:15,40.7332,-74.0007
509905,5/13/2014 0:16,40.7593,-74.0483
14927,5/13/2014 0:17,40.7557,-73.9871
136550,5/13/2014 0:17,40.8464,-73.9172
509906,5/13/2014 0:18,40.743,-73.9921
509907,5/13/2014 0:18,40.6804,-73.9506
646611,5/13/2014 0:18,40.7268,-73.9831
136551,5/13/2014 0:19,40.7606,-73.9624
136552,5/13/2014 0:19,40.7432,-74.0085
